gene	donor_id	sample	development_stage	sex	cell_type_level_2	n_cells	n_detected	detection_fraction	matrix_used
LOXL3	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTEC	685	2	0.00291971	X
LOXL3	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC	342	3	0.00877193	X
LOXL3	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC-mimetic	65	2	0.0307692	X
LOXL3	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mcTEC	45	1	0.0222222	X
LOXL3	Z11	TA9260017	2-year-old stage	female	mTEC	3	0	0	X
LOXL3	Z11	TA9260017	2-year-old stage	female	mTEC-mimetic	1	0	0	X
LOXL3	Z11	TA9260017	2-year-old stage	female	mcTEC	4	1	0.25	X
LOXL3	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTEC	3157	8	0.00253405	X
LOXL3	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC	974	0	0	X
LOXL3	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC-mimetic	131	2	0.0152672	X
LOXL3	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC	2432	3	0.00123355	X
LOXL3	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	see_lv4_explore	16	0	0	X
LOXL3	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTEC	186	1	0.00537634	X
LOXL3	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC	339	1	0.00294985	X
LOXL3	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC-mimetic	468	11	0.0235043	X
LOXL3	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC	277	0	0	X
LOXL3	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	see_lv4_explore	23	0	0	X
LOXL3	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTEC	243	0	0	X
LOXL3	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC	367	0	0	X
LOXL3	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC-mimetic	458	3	0.00655022	X
LOXL3	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC	263	0	0	X
LOXL3	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	see_lv4_explore	26	0	0	X
