gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161	0	0	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469	11	0.00445525	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706	12	0.00443459	raw.X	
LOXL4	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888	8	0.00900901	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98	1	0.0102041	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247	0	0	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259	3	0.011583	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88	0	0	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364	1	0.00274725	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722	3	0.00415512	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215	1	0.00465116	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379	0	0	raw.X	
LOXL4	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66	0	0	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35	0	0	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295	4	0.0135593	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264	14	0.0530303	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40	7	0.175	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69	0	0	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151	1	0.00662252	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47	1	0.0212766	raw.X	
LOXL4	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273	26	0.0952381	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12	2	0.166667	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5	0	0	raw.X	
LOXL4	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16	3	0.1875	raw.X	
