gene	annotation_level	group_or_subtype	status	n_young_samples	n_aged_samples	young_cell_count	aged_cell_count	raw_pvalue	original_padj	log2FC_18mo_vs_02mo	global_bh_fdr_lox_x_subtype_matrix	global_fdr_classification
Lox	subtype	7:vSMC/PC	ok	3	4	268	712	0.7389485113502088	0.9997808816588244	-0.262742286566923	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	7:vSMC/PC	ok	3	4	268	712	0.67815960897988	0.9997808816588244	0.5510198093889093	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	7:vSMC/PC	ok	3	4	268	712	0.0275600177202313	0.9997808816588244	-1.9593858397618331	0.22599214530589667	not_significant_after_global_matrix_correction
Loxl3	subtype	7:vSMC/PC	ok	3	4	268	712	0.7029732080234168	0.9997808816588244	0.4121468623397055	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	7:vSMC/PC	not_tested_zero_counts	3	4	268	712					not_tested
Lox	subtype	8:nmSC	ok	1	3	10	56	0.941276887457048	0.9947259863158392	0.3915652256741113	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	8:nmSC	ok	1	3	10	56	0.648368213075019	0.9947259863158392	1.1568271255898934	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	8:nmSC	ok	1	3	10	56	0.5329840612923333	0.9947259863158392	2.8287824191318944	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	8:nmSC	ok	1	3	10	56	0.762363105259795	0.9947259863158392	-0.8053320910395455	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	8:nmSC	ok	1	3	10	56	0.9420427769314446	0.9947259863158392	0.3915645303811785	0.9748426779227708	not_significant_after_global_matrix_correction
Lox	subtype	9:Fat	ok	1	2	15	44	0.9029180489231524	0.999806114744774	-0.3844096305732658	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	9:Fat	ok	1	2	15	44	0.8209811474030957	0.999806114744774	-0.585874257800052	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	9:Fat	ok	1	2	15	44	0.990883041346891	0.999806114744774	-0.0325814089014426	0.9990050334890787	not_significant_after_global_matrix_correction
Loxl3	subtype	9:Fat	ok	1	2	15	44	0.7779331007600759	0.999806114744774	0.9362030810551322	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	9:Fat	ok	1	2	15	44	0.8180834625755622	0.999806114744774	1.0852067259226037	0.9748426779227708	not_significant_after_global_matrix_correction
