gene	age_development	cell_types_epith	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOXL4	Postnatal (10 months)	Immature TEC	1	1	1	264	0.0530303	0.0530303	not_generated	not_generated	
LOXL4	Postnatal (10 months)	Myoid	1	1	1	40	0.175	0.175	not_generated	not_generated	
LOXL4	Postnatal (10 months)	Neuroendocrine	1	1	1	69	0	0	not_generated	not_generated	
LOXL4	Postnatal (10 months)	cTEC hi	1	1	1	151	0.00662252	0.00662252	not_generated	not_generated	
LOXL4	Postnatal (10 months)	cTEC lo	1	1	1	47	0.0212766	0.0212766	not_generated	not_generated	
LOXL4	Postnatal (10 months)	mTEC lo	1	1	1	273	0.0952381	0.0952381	not_generated	not_generated	
LOXL4	Postnatal (6 days)	Aire+ mTEC hi	1	1	1	20	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	Corneocyte-like mTEC	1	1	1	83	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	Immature TEC	1	1	1	12	0.166667	0.166667	not_generated	not_generated	
LOXL4	Postnatal (6 days)	Myoid	1	1	1	4	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	Neuroendocrine	1	1	1	2	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	cTEC hi	1	1	1	93	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	cTEC lo	1	1	1	5	0	0	not_generated	not_generated	
LOXL4	Postnatal (6 days)	mTEC lo	1	1	1	16	0.1875	0.1875	not_generated	not_generated	
