gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOXL2	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cortical thymic epithelial cell	3	0	0
LOXL2	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	medullary thymic epithelial cell	6	0	0
LOXL2	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cortical thymic epithelial cell	4	0	0
LOXL2	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	medullary thymic epithelial cell	3	0	0
LOXL2	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL2	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL2	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cortical thymic epithelial cell	1	0	0
LOXL2	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	medullary thymic epithelial cell	5	0	0
LOXL2	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cortical thymic epithelial cell	2	0	0
LOXL2	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOXL2	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cortical thymic epithelial cell	16	0	0
LOXL2	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	medullary thymic epithelial cell	15	0	0
LOXL2	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cortical thymic epithelial cell	5	0	0
LOXL2	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	medullary thymic epithelial cell	10	2	0.2
LOXL2	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cortical thymic epithelial cell	34	1	0.0294118
LOXL2	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	450	46	0.102222
LOXL2	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cortical thymic epithelial cell	235	6	0.0255319
LOXL2	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	medullary thymic epithelial cell	1809	67	0.037037
LOXL2	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cortical thymic epithelial cell	30	0	0
LOXL2	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	medullary thymic epithelial cell	110	7	0.0636364
LOXL2	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cortical thymic epithelial cell	18	0	0
LOXL2	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	medullary thymic epithelial cell	81	4	0.0493827
LOXL3	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	21	0	0
LOXL3	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	2225	4	0.00179775
LOXL3	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cortical thymic epithelial cell	18	0	0
LOXL3	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	2278	7	0.00307287
LOXL3	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	2	0	0
LOXL3	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	74	1	0.0135135
LOXL3	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	4	0	0
LOXL3	A45	A45_TH_45NM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	191	1	0.0052356
LOXL3	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	1218	1	0.000821018
LOXL3	A45	A45_TH_TOT_5GEX	15-19 year-old	male	medullary thymic epithelial cell	13	0	0
LOXL3	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cortical thymic epithelial cell	60	0	0
LOXL3	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	medullary thymic epithelial cell	3	1	0.333333
