analysis_group	gene	age_week	n_cells	n_sort_day_samples	mean_log2_norm_plus1	median_log2_norm_plus1	detection_rate	n_biological_samples_if_available	age_label	replicate_definition
mTEClo	Lox	16	93	5	1.6050137157643576	0.0	0.26881720430107525		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Lox	32	129	5	1.3134536295291466	0.0	0.23255813953488372		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Lox	52	136	4	1.5570205840239577	0.0	0.27941176470588236		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl1	1	92	5	7.934315294993443	8.311081883620066	0.967391304347826		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl1	4	132	5	6.375589890393771	7.820932459320474	0.803030303030303		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl1	16	93	5	5.835671536349872	7.535735352890516	0.7311827956989247		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl1	32	129	5	6.330847442680652	7.751812330813738	0.7984496124031008		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl1	52	136	4	6.523088631960918	7.900685293875359	0.8161764705882353		52 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl2	1	92	5	1.6854415811119752	0.0	0.3804347826086957		1 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl2	4	132	5	0.956911704336816	0.0	0.19696969696969696		4 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl2	16	93	5	0.5383226805868506	0.0	0.13978494623655913		16 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
mTEClo	Loxl2	32	129	5	0.18377438546835892	0.0	0.05426356589147287		32 wk	sort_day/acquisition-day summaries; exact donor-level metadata is not available in parsed colData
