gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL3	12th week post-fertilization stage	mcTEC	2	3	3	10	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	cTEC	2	2	2	2	0	0	not_generated	not_generated
LOXL3	13th week post-fertilization stage	mTEC	2	2	2	8	0.125	0.125	not_generated	not_generated
LOXL3	13th week post-fertilization stage	mTEC-mimetic	2	2	2	4	0.166666	0.166666	not_generated	not_generated
LOXL3	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL3	14th week post-fertilization stage	cTEC	1	1	1	1	0	0	not_generated	not_generated
LOXL3	14th week post-fertilization stage	mTEC	1	2	2	19	0	0	not_generated	not_generated
LOXL3	14th week post-fertilization stage	mTEC-mimetic	1	2	2	4	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	cTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mTEC	1	1	1	9	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mTEC-mimetic	1	1	1	3	0	0	not_generated	not_generated
LOXL3	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTEC	1	1	1	22	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTEC-mimetic	1	1	1	11	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	cTEC	1	1	1	87	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTEC	1	1	1	175	0.0114286	0.0114286	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mTEC-mimetic	1	1	1	8	0	0	not_generated	not_generated
LOXL3	18th week post-fertilization stage	mcTEC	1	1	1	164	0.00609756	0.00609756	not_generated	not_generated
LOXL3	2-year-old stage	mTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL3	2-year-old stage	mTEC-mimetic	1	1	1	1	0	0	not_generated	not_generated
LOXL3	2-year-old stage	mcTEC	1	1	1	4	0.25	0.25	not_generated	not_generated
LOXL3	20th week post-fertilization stage	cTEC	1	1	1	3157	0.00253405	0.00253405	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTEC	1	1	1	974	0	0	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mTEC-mimetic	1	1	1	131	0.0152672	0.0152672	not_generated	not_generated
LOXL3	20th week post-fertilization stage	mcTEC	1	1	1	2432	0.00123355	0.00123355	not_generated	not_generated
LOXL3	20th week post-fertilization stage	see_lv4_explore	1	1	1	16	0	0	not_generated	not_generated
LOXL3	24th week post-fertilization stage	cTEC	1	2	2	429	0.00268817	0.00268817	not_generated	not_generated
LOXL3	24th week post-fertilization stage	mTEC	1	2	2	706	0.00147492	0.00147492	not_generated	not_generated
