gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL1	18th week post-fertilization stage	mTECII	1	1	1	19	0.368421	0.368421	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mTECIII	1	1	1	12	0	0	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mcTEC	1	1	1	153	0.0849673	0.0849673	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mcTEC-Prolif	1	1	1	11	0.0909091	0.0909091	not_generated	not_generated
LOXL1	2-year-old stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL1	2-year-old stage	mTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL1	2-year-old stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL1	20th week post-fertilization stage	TEC-cilliated	1	1	1	1	0	0	not_generated	not_generated
LOXL1	20th week post-fertilization stage	TEC-myo	1	1	1	101	0.0792079	0.0792079	not_generated	not_generated
LOXL1	20th week post-fertilization stage	TEC-neuro	1	1	1	29	0.0344828	0.0344828	not_generated	not_generated
LOXL1	20th week post-fertilization stage	TEC-tuft	1	1	1	16	0	0	not_generated	not_generated
LOXL1	20th week post-fertilization stage	cTECI	1	1	1	2907	0.0326797	0.0326797	not_generated	not_generated
LOXL1	20th week post-fertilization stage	cTECII	1	1	1	250	0.048	0.048	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mTECI	1	1	1	743	0.0376851	0.0376851	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mTECI-trans	1	1	1	114	0.0614035	0.0614035	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mTECII	1	1	1	80	0.1125	0.1125	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mTECIII	1	1	1	37	0.108108	0.108108	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mcTEC	1	1	1	2051	0.0355924	0.0355924	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mcTEC-Prolif	1	1	1	381	0.0918635	0.0918635	not_generated	not_generated
LOXL1	24th week post-fertilization stage	TEC-cilliated	1	2	2	140	0.104425	0.104425	not_generated	not_generated
LOXL1	24th week post-fertilization stage	TEC-myo	1	2	2	431	0.0654446	0.0654446	not_generated	not_generated
LOXL1	24th week post-fertilization stage	TEC-neuro	1	2	2	355	0.0311647	0.0311647	not_generated	not_generated
LOXL1	24th week post-fertilization stage	TEC-tuft	1	2	2	49	0.0434783	0.0434783	not_generated	not_generated
LOXL1	24th week post-fertilization stage	cTECI	1	2	2	401	0.0385269	0.0385269	not_generated	not_generated
LOXL1	24th week post-fertilization stage	cTECII	1	2	2	28	0.142857	0.142857	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTECI	1	2	2	115	0.0348063	0.0348063	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTECI-trans	1	2	2	286	0.050098	0.050098	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTECII	1	2	2	103	0.0483019	0.0483019	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mTECIII	1	2	2	202	0.0150712	0.0150712	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mcTEC	1	2	2	483	0.0535402	0.0535402	not_generated	not_generated
LOXL1	24th week post-fertilization stage	mcTEC-Prolif	1	2	2	57	0.016129	0.016129	not_generated	not_generated
LOXL1	3-month-old stage	TEC-cilliated	1	1	1	3	0	0	not_generated	not_generated
LOXL1	3-month-old stage	TEC-myo	1	2	2	16	0.178571	0.178571	not_generated	not_generated
LOXL1	3-month-old stage	TEC-neuro	1	1	1	8	0	0	not_generated	not_generated
LOXL1	3-month-old stage	cTECI	1	3	3	83	0.2	0.163514	not_generated	not_generated
LOXL1	3-month-old stage	cTECII	1	3	3	132	0	0.0090909	not_generated	not_generated
LOXL1	3-month-old stage	cTECIII	1	3	3	255	0	0	not_generated	not_generated
LOXL1	3-month-old stage	mTECI	1	3	3	797	0.16129	0.201557	not_generated	not_generated
LOXL1	3-month-old stage	mTECI-trans	1	3	3	32	0	0.0333333	not_generated	not_generated
LOXL1	3-month-old stage	mTECII	1	3	3	282	0.214286	0.192121	not_generated	not_generated
LOXL1	3-month-old stage	mTECIII	1	3	3	139	0	0.0403227	not_generated	not_generated
LOXL1	3-month-old stage	mcTEC	1	3	3	258	0.105485	0.10659	not_generated	not_generated
LOXL1	3-month-old stage	mcTEC-Prolif	1	2	2	16	0.357143	0.357143	not_generated	not_generated
LOXL1	6-month-old stage	TEC-cilliated	3	7	7	438	0.0759162	0.145539	not_generated	not_generated
LOXL1	6-month-old stage	TEC-myo	3	6	6	341	0.100962	0.110084	not_generated	not_generated
LOXL1	6-month-old stage	TEC-neuro	3	7	7	1178	0.0263158	0.074811	not_generated	not_generated
LOXL1	6-month-old stage	TEC-tuft	1	1	1	1	0	0	not_generated	not_generated
LOXL1	6-month-old stage	cTECI	3	6	6	211	0.0777778	0.0824446	not_generated	not_generated
LOXL1	6-month-old stage	cTECII	3	5	5	818	0.0363636	0.0311861	not_generated	not_generated
LOXL1	6-month-old stage	cTECIII	3	6	6	1648	0.0197351	0.0174391	not_generated	not_generated
LOXL1	6-month-old stage	mTECI	3	7	7	814	0.130435	0.110788	not_generated	not_generated
LOXL1	6-month-old stage	mTECI-trans	3	6	6	216	0.0800181	0.0769349	not_generated	not_generated
LOXL1	6-month-old stage	mTECII	3	6	6	197	0.104938	0.0928497	not_generated	not_generated
LOXL1	6-month-old stage	mTECIII	3	7	7	155	0	0.0117096	not_generated	not_generated
LOXL1	6-month-old stage	mcTEC	3	7	7	122	0	0.0345944	not_generated	not_generated
LOXL1	6-month-old stage	mcTEC-Prolif	2	4	4	10	0	0	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	TEC-cilliated	1	2	2	18	0.0666665	0.0666665	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	TEC-myo	1	3	3	98	0.0377358	0.0504573	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	TEC-neuro	2	4	4	14	0	0.0227273	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	cTECI	2	4	4	1583	0.223485	0.249393	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	cTECII	2	3	3	576	0.04	0.0333333	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	cTECIII	2	4	4	171	0.0131579	0.0234059	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTECI	2	4	4	1000	0.0423729	0.0443029	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTECI-trans	1	2	2	63	0.064516	0.064516	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTECII	2	4	4	169	0.12	0.127669	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mTECIII	2	4	4	135	0.0119048	0.0246091	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mcTEC	2	4	4	2513	0.0078534	0.014735	not_generated	not_generated
LOXL1	newborn stage (0-28 days)	mcTEC-Prolif	1	2	2	43	0.107955	0.107955	not_generated	not_generated
LOXL2	10-month-old stage	TEC-cilliated	1	2	2	21	0	0	not_generated	not_generated
LOXL2	10-month-old stage	TEC-myo	1	2	2	52	0.303617	0.303617	not_generated	not_generated
LOXL2	10-month-old stage	TEC-neuro	1	2	2	29	0	0	not_generated	not_generated
LOXL2	10-month-old stage	cTECI	1	2	2	109	0	0	not_generated	not_generated
LOXL2	10-month-old stage	cTECII	1	2	2	89	0	0	not_generated	not_generated
LOXL2	10-month-old stage	cTECIII	1	2	2	77	0	0	not_generated	not_generated
LOXL2	10-month-old stage	mTECI	1	2	2	263	0.00197628	0.00197628	not_generated	not_generated
LOXL2	10-month-old stage	mTECI-trans	1	2	2	20	0	0	not_generated	not_generated
LOXL2	10-month-old stage	mTECII	1	2	2	45	0	0	not_generated	not_generated
LOXL2	10-month-old stage	mTECIII	1	2	2	317	0.00687576	0.00687576	not_generated	not_generated
LOXL2	10-month-old stage	mcTEC	1	2	2	220	0.00471698	0.00471698	not_generated	not_generated
LOXL2	10-month-old stage	mcTEC-Prolif	1	1	1	4	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	cTECI	2	3	3	8	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	cTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mcTEC	1	2	2	7	0	0	not_generated	not_generated
LOXL2	12th week post-fertilization stage	mcTEC-Prolif	2	2	2	3	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	TEC-myo	1	1	1	1	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	TEC-neuro	2	2	2	3	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	cTECI	2	2	2	2	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mTECI	2	2	2	6	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
LOXL2	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	TEC-myo	1	2	2	2	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	TEC-neuro	1	2	2	2	0.5	0.5	not_generated	not_generated
LOXL2	14th week post-fertilization stage	cTECI	1	1	1	1	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	mTECI	1	2	2	18	0	0	not_generated	not_generated
LOXL2	14th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	TEC-myo	1	1	1	2	0.5	0.5	not_generated	not_generated
LOXL2	15th week post-fertilization stage	TEC-neuro	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	cTECI	1	1	1	4	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTECI	1	1	1	7	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTECI-trans	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mTECIII	1	1	1	1	0	0	not_generated	not_generated
LOXL2	15th week post-fertilization stage	mcTEC	1	1	1	5	0.2	0.2	not_generated	not_generated
LOXL2	17th week post-fertilization stage	TEC-cilliated	1	1	1	2	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	TEC-myo	1	1	1	4	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	TEC-neuro	1	1	1	5	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	cTECI	1	1	1	3	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	cTECII	1	1	1	4	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTECI	1	1	1	9	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTECI-trans	1	1	1	12	0	0	not_generated	not_generated
LOXL2	17th week post-fertilization stage	mTECII	1	1	1	1	0	0	not_generated	not_generated
