gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mcTEC	41	4	0.097561	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mcTEC-Prolif	4	0	0	X
LOX	Z11	TA9260017	2-year-old stage	female	TEC-neuro	1	0	0	X
LOX	Z11	TA9260017	2-year-old stage	female	mTECI	3	1	0.333333	X
LOX	Z11	TA9260017	2-year-old stage	female	mcTEC	4	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	TEC-cilliated	1	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	TEC-myo	101	4	0.039604	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	TEC-neuro	29	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	TEC-tuft	16	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTECI	2907	6	0.00206398	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTECII	250	4	0.016	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTECI	743	4	0.00538358	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTECI-trans	114	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTECII	80	2	0.025	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTECIII	37	1	0.027027	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC	2051	9	0.0043881	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC-Prolif	381	3	0.00787402	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	TEC-cilliated	78	1	0.0128205	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	TEC-myo	209	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	TEC-neuro	181	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	TEC-tuft	23	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTECI	172	1	0.00581395	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTECII	14	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTECI	56	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTECI-trans	136	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTECII	50	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTECIII	97	1	0.0103093	X
