match_window	gene	young_mean_detection	aged_mean_detection	detection_delta	detection_ratio	young_mean_log2CPM	aged_mean_log2CPM	log2CPM_delta	all_young_above_all_aged_detection	all_young_above_all_aged_log2CPM	n_young_samples	n_aged_samples	young_detection_values	aged_detection_values	young_log2CPM_values	aged_log2CPM_values	excluded_lox_family	excluded_mitochondrial	excluded_ribosomal	background_included
broad	Coro7	0.0828853046594982	0.07354694553662444	-0.009338359122873757	0.8873339591229501	3.413585282836409	3.768117444329623	0.3545321614932142	False	False	2	2	0.0833333;0.0824373	0.0868056;0.0602883	3.4916;3.33557	4.05275;3.48349	False	False	False	True
broad	Dnaja3	0.2286559139784946	0.176582750837338	-0.05207316314115662	0.772264087837876	4.914396122314179	4.9486466762204255	0.03425055390624632	True	False	2	2	0.21;0.247312	0.173611;0.179554	4.8488;4.97999	4.86158;5.03571	False	False	False	True
broad	Nmral1	0.05738351254480287	0.019625109217999127	-0.03775840332680374	0.3419990925560123	3.155185039886919	1.9936697566476886	-1.1615152832392304	True	True	2	2	0.0466667;0.0681004	0.0104167;0.0288336	2.92372;3.38665	1.35591;2.63143	False	False	False	True
broad	Mgrn1	0.19111111111111112	0.18519504514343965	-0.005916065967671469	0.9690438408668354	4.53524045405474	5.021862672250597	0.4866222181958566	False	False	2	2	0.16;0.222222	0.211806;0.158585	4.426;4.64448	5.14204;4.90169	False	False	False	True
broad	Anks3	0.15344086021505376	0.14935788918013687	-0.0040829710349168935	0.9733905882097217	4.221134181996662	4.671178974023677	0.45004479202701475	False	False	2	2	0.113333;0.193548	0.149306;0.14941	3.86215;4.58011	4.57736;4.765	False	False	False	True
broad	Smim22	0.1735663082437276	0.26238486602592104	0.08881855778219344	1.5117269513935359	4.725317855262809	5.760374670222147	1.0350568149593382	False	False	2	2	0.15;0.197133	0.253472;0.271298	4.61023;4.84041	5.57856;5.94219	False	False	False	True
broad	Gm42477	0.08096774193548387	0.04157337629241299	-0.039394365643070875	0.5134560418584871	3.764243872736232	2.9522100877077864	-0.8120337850284458	True	True	2	2	0.0866667;0.0752688	0.0451389;0.0380079	3.78764;3.74085	3.04929;2.85513	False	False	False	True
broad	Ppl	0.07288530465949822	0.09425285787097715	0.02136755321147893	1.2931668230146358	3.1696030943921008	4.015370421002961	0.8457673266108605	False	False	2	2	0.0633333;0.0824373	0.100694;0.0878113	3.05658;3.28262	4.05275;3.97799	False	False	False	True
broad	Sec14l5	0.061469534050179214	0.016314438619484492	-0.04515509543069472	0.26540690232280895	2.8580305283680794	1.8676132484976637	-0.9904172798704156	True	True	2	2	0.0333333;0.0896057	0.0208333;0.0117955	2.32941;3.38665	2.21382;1.52141	False	False	False	True
broad	Nagpa	0.14577060931899644	0.06725780908693753	-0.07851280023205891	0.4613948545673855	4.0724900042143	3.59915755229444	-0.4733324519198603	True	True	2	2	0.126667;0.164875	0.0729167;0.061599	3.96717;4.17781	3.63656;3.56176	False	False	False	True
broad	Alg1	0.14064516129032256	0.09425285787097715	-0.046392303419345415	0.6701464665138285	4.103532159831573	4.037619796201418	-0.06591236363015529	True	False	2	2	0.12;0.16129	0.100694;0.0878113	4.00054;4.20652	4.09725;3.97799	False	False	False	True
broad	Eef2kmt	0.18035842293906812	0.1543705402650357	-0.02598788267403243	0.8559097920100348	4.551043023707088	4.8378778022456	0.2868347785385126	True	False	2	2	0.16;0.200717	0.152778;0.155963	4.37601;4.72607	4.83555;4.84021	False	False	False	True
broad	Tmem186	0.08888888888888888	0.07898509174311927	-0.00990379714576961	0.8885822821100918	3.4477664780767943	3.6969293189444112	0.24916284086761697	False	False	2	2	0.0666667;0.111111	0.09375;0.0642202	3.23542;3.66011	3.91037;3.48349	False	False	False	True
broad	Pmm2	0.1628136200716846	0.1384133355176933	-0.02440028455399129	0.8501336402737795	4.23770369884964	4.592721531654799	0.3550178328051592	False	False	2	2	0.15;0.175627	0.15625;0.120577	4.18603;4.28938	4.78203;4.40341	False	False	False	True
broad	Usp7	0.12401433691756272	0.15387678389398574	0.029862446976423013	1.2407983441162433	3.88304960197946	4.7908877566189005	0.9078381546394407	False	False	2	2	0.133333;0.114695	0.170139;0.137615	4.06506;3.70104	4.86158;4.72019	False	False	False	True
broad	1810013L24Rik	0.19265232974910396	0.1722595383719237	-0.020392791377180253	0.8941471852235667	4.578229141632115	5.000910927656891	0.4226817860247758	False	False	2	2	0.166667;0.218638	0.159722;0.184797	4.45035;4.7061	4.91227;5.08955	False	False	False	True
broad	Tekt5	0.16435483870967743	0.035514052715887576	-0.12884078599378984	0.21608157687782428	4.859388700538814	2.7603134762358534	-2.0990752243029602	True	True	2	2	0.156667;0.172043	0.0277778;0.0432503	5.05346;4.66532	2.36706;3.15357	False	False	False	True
broad	Tvp23a	0.04279569892473119	0.0045871559633027525	-0.038208542961428435	0.10718731271034068	2.9740911273790793	0.6478597850956702	-2.326231342283409	True	True	2	2	0.0533333;0.0322581	0;0.00917431	3.17824;2.76995	0;1.29572	False	False	False	True
broad	Clec16a	0.11605734767025089	0.0803298383573613	-0.035727509312889594	0.6921564206826375	3.8213397612333484	3.874298318433504	0.05295855720015563	True	False	2	2	0.106667;0.125448	0.0833333;0.0773263	3.82538;3.8173	3.91037;3.83823	False	False	False	True
broad	Rmi2	0.0760931899641577	0.020050604339595164	-0.05604258562456254	0.2635006411091404	3.5107359850580657	2.312278831246095	-1.1984571538119706	True	True	2	2	0.0733333;0.078853	0.0138889;0.0262123	3.53779;3.48368	2.04235;2.58221	False	False	False	True
broad	Txndc11	0.18768817204301075	0.14909394568224843	-0.03859422636076232	0.7943704926066516	4.585924258481107	4.805767668338719	0.21984340985761186	True	False	2	2	0.203333;0.172043	0.163194;0.134993	4.75414;4.41771	4.83555;4.77599	False	False	False	True
broad	Zc3h7a	0.2229032258064516	0.26015499854376	0.0372517727373084	1.1671208328301823	4.9578134117183	5.663564370500813	0.705750958782513	False	False	2	2	0.22;0.225806	0.267361;0.252949	4.90275;5.01288	5.66978;5.65735	False	False	False	True
broad	2610020C07Rik	0.14014336917562725	0.12930728484054171	-0.010836084335085538	0.9226785798084689	4.192822087712951	4.492847454857017	0.300025367144066	False	False	2	2	0.133333;0.146953	0.135417;0.123198	4.09626;4.28938	4.51312;4.47258	False	False	False	True
broad	Cpped1	0.13835125448028673	0.11387796708897627	-0.024473287391310466	0.8231075859539995	4.086846008816049	4.360835588282788	0.27398957946673885	True	False	2	2	0.133333;0.143369	0.111111;0.116645	3.96717;4.20652	4.26267;4.459	False	False	False	True
broad	Shisa9	0.18331541218637992	0.017625054608999564	-0.16569035757738035	0.09614605994546639	4.843561056816658	2.1633772210005624	-2.680183835816096	True	True	2	2	0.176667;0.189964	0.0208333;0.0144168	4.90275;4.78437	2.21382;2.11293	False	False	False	True
broad	4930414F18Rik	0.046505376344086025	0.00327653997378768	-0.04322883637029835	0.07045507920514549	2.8468326719913786	0.5840443044187795	-2.262788367572599	True	True	2	2	0.05;0.0430108	0;0.00655308	2.92372;2.76995	0;1.16809	False	False	False	True
broad	Ercc4	0.04688172043010753	0.03289282073685743	-0.013988899693250095	0.7016129193870966	2.600383074681879	2.6315241641789826	0.031141089497103813	True	False	2	2	0.04;0.0537634	0.0277778;0.0380079	2.43082;2.76995	2.36706;2.89599	False	False	False	True
broad	Gm15738	0.08263440860215054	0.1048993374108053	0.022264928808654758	1.2694389563051258	3.359625095454028	4.203314325682426	0.8436892302283976	False	False	2	2	0.09;0.0752688	0.118056;0.0917431	3.4916;3.22765	4.30122;4.10541	False	False	False	True
broad	Parn	0.1799820788530466	0.18388442915392456	0.0039023503008779603	1.0216818825837888	4.491999885403072	5.0170442009848095	0.5250443155817379	False	False	2	2	0.17;0.189964	0.211806;0.155963	4.426;4.558	5.20439;4.8297	False	False	False	True
broad	Rrn3	0.17127240143369177	0.15545134338138927	-0.015821058052302495	0.9076263430659748	4.481933642059293	4.828101396542484	0.3461677544831918	True	False	2	2	0.163333;0.179211	0.15625;0.154653	4.47431;4.48956	4.75451;4.90169	False	False	False	True
broad	Mpv17l	0.06559139784946236	0.11905216979758265	0.053460771948120295	1.815057670684457	3.1135875378048863	4.586011728323304	1.4724241905184177	False	False	2	2	0.0666667;0.0645161	0.131944;0.10616	3.17824;3.04894	4.75451;4.41751	False	False	False	True
broad	Efcab1	0.034336917562724015	0.040654124799767	0.006317207237042988	1.183977120995302	2.2464440491848556	2.9704765438026284	0.7240324946177727	False	False	2	2	0.04;0.0286738	0.0590278;0.0222805	2.52557;1.96732	3.69564;2.24532	False	False	False	True
broad	Mcm4	0.1378494623655914	0.0957932867336537	-0.0420561756319377	0.6949122984578623	4.384043448785256	4.21400165593769	-0.1700417928475666	True	True	2	2	0.146667;0.129032	0.0972222;0.0943644	4.426;4.34209	4.09725;4.33076	False	False	False	True
broad	Prkdc	0.1153046594982079	0.13664309378185524	0.021338434283647345	1.1850613355653592	3.9595579432819665	4.578410175414994	0.6188522321330279	False	False	2	2	0.126667;0.103943	0.163194;0.110092	4.06506;3.85406	4.78203;4.37479	False	False	False	True
broad	Mzt2	0.2229390681003584	0.17353602373671181	-0.04940304436364659	0.7784011354106527	4.7676391821755635	5.008317848418366	0.2406786662428022	True	False	2	2	0.266667;0.179211	0.170139;0.176933	5.06927;4.46601	5.00861;5.00802	False	False	False	True
broad	Spidr	0.17664874551971327	0.12236284039609727	-0.054285905123616	0.692690118099039	4.4453909527253845	4.529067248549959	0.08367629582457425	True	False	2	2	0.163333;0.189964	0.121528;0.123198	4.40122;4.48956	4.5456;4.51254	False	False	False	True
broad	Pkp2	0.0575089605734767	0.06142829838357361	0.003919337810096908	1.068151776193022	3.0675105382431473	3.5797031811740494	0.512192642930902	False	False	2	2	0.0433333;0.0716846	0.0520833;0.0707733	2.8524;3.28262	3.21998;3.93942	False	False	False	True
broad	Yars2	0.1356810035842294	0.0526453509538372	-0.08303565263039221	0.3880082661767422	4.1579516365584395	3.203299017092538	-0.9546526194659015	True	True	2	2	0.156667;0.114695	0.0659722;0.0393185	4.426;3.88991	3.51061;2.89599	False	False	False	True
broad	Dnm1l	0.24082437275985663	0.2350576124945391	-0.005766760265317528	0.9760540837323473	4.853707489866511	5.500065448755573	0.6463579588890624	False	False	2	2	0.22;0.261649	0.260417;0.209699	4.86701;4.84041	5.60961;5.39052	False	False	False	True
