gene	development_stage	celltypes	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL3	17th week post-fertilization stage	mTEC(II)	2	2	2	48	0.0212766	0.0212766	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTEC(III)	1	1	1	12	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mTEC(IV)	1	1	1	2	0	0	not_generated	not_generated
LOXL3	17th week post-fertilization stage	mcTEC	2	3	3	244	0	0.00138313	not_generated	not_generated
LOXL3	3-month-old stage	TEC(myo)	1	2	2	18	0.03125	0.03125	not_generated	not_generated
LOXL3	3-month-old stage	TEC(neuro)	1	3	3	49	0	0.0151515	not_generated	not_generated
LOXL3	3-month-old stage	cTEC	1	3	3	283	0	0.00141844	not_generated	not_generated
LOXL3	3-month-old stage	mTEC(I)	1	3	3	930	0	0.00234742	not_generated	not_generated
LOXL3	3-month-old stage	mTEC(II)	1	3	3	392	0	0.00746967	not_generated	not_generated
LOXL3	3-month-old stage	mTEC(III)	1	3	3	132	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mTEC(IV)	1	2	2	31	0	0	not_generated	not_generated
LOXL3	3-month-old stage	mcTEC	1	3	3	448	0	0.0016835	not_generated	not_generated
LOXL3	9th week post-fertilization stage	TEC(neuro)	1	1	1	2	0.5	0.5	not_generated	not_generated
LOXL3	9th week post-fertilization stage	cTEC	1	1	1	60	0	0	not_generated	not_generated
LOXL3	9th week post-fertilization stage	mTEC(I)	1	1	1	1	0	0	not_generated	not_generated
LOXL3	fourth decade stage	TEC(myo)	1	3	3	90	0	0.00775193	not_generated	not_generated
LOXL3	fourth decade stage	TEC(neuro)	1	3	3	164	0.021978	0.178687	not_generated	not_generated
LOXL3	fourth decade stage	cTEC	1	3	3	41	0	0	not_generated	not_generated
LOXL3	fourth decade stage	mTEC(I)	1	4	4	4160	0.00073674	0.000855225	not_generated	not_generated
LOXL3	fourth decade stage	mTEC(II)	1	3	3	38	0	0	not_generated	not_generated
