analysis_group	gene	age_week	n_sample_proxy	n_cells	mean_detection_rate	median_detection_rate	mean_log2CPM1	median_log2CPM1
mTEClo	Loxl4	4	5	132	0.5287442659856454	0.5517241379310345	5.649218826798107	5.8366265856200785
mTEClo	Loxl4	16	5	93	0.5755225166989872	0.47619047619047616	5.879923969664358	5.950357884812525
mTEClo	Loxl4	32	5	129	0.5252950558213716	0.5263157894736842	5.231845735304496	5.551511019345999
mTEClo	Loxl4	52	4	136	0.4857594144006234	0.4873083024854574	5.412611301985302	5.444359101437268
post_Aire_mTEC	Lox	1	4	8	0.0	0.0	0.0	0.0
post_Aire_mTEC	Lox	4	5	57	0.4201488569909622	0.4444444444444444	5.691967037780872	5.785807300093104
post_Aire_mTEC	Lox	16	5	31	0.20454545454545453	0.25	2.0702310004903053	1.303658138062557
post_Aire_mTEC	Lox	32	5	32	0.4311111111111111	0.5555555555555556	5.129525320438566	6.012269960029051
post_Aire_mTEC	Lox	52	4	15	0.20833333333333331	0.16666666666666666	2.370327785715542	2.109715677419039
post_Aire_mTEC	Loxl1	1	4	8	0.8333333333333333	0.8333333333333333	7.159536941608307	6.916890834341216
post_Aire_mTEC	Loxl1	4	5	57	0.410154173312068	0.36363636363636365	6.601390912409249	6.64265898297388
post_Aire_mTEC	Loxl1	16	5	31	0.2409090909090909	0.25	4.0869906575612225	6.645679517419058
post_Aire_mTEC	Loxl1	32	5	32	0.36444444444444446	0.2222222222222222	5.255614994037841	6.845343519342899
post_Aire_mTEC	Loxl1	52	4	15	0.6369047619047619	0.6071428571428572	7.114776616064259	7.072414488807036
post_Aire_mTEC	Loxl2	1	4	8	0.0	0.0	0.0	0.0
post_Aire_mTEC	Loxl2	4	5	57	0.13072833599149386	0.05263157894736842	1.3043018545444038	0.7328549633077127
post_Aire_mTEC	Loxl2	16	5	31	0.00909090909090909	0.0	0.020116552622884903	0.0
post_Aire_mTEC	Loxl2	32	5	32	0.0	0.0	0.0	0.0
post_Aire_mTEC	Loxl2	52	4	15	0.0	0.0	0.0	0.0
post_Aire_mTEC	Loxl3	1	4	8	0.25	0.16666666666666666	3.14492628388605	2.777043687551647
post_Aire_mTEC	Loxl3	4	5	57	0.14016480595427963	0.15789473684210525	3.4474867633689312	4.842494754328536
post_Aire_mTEC	Loxl3	16	5	31	0.06818181818181819	0.0	2.1299523706761443	0.0
post_Aire_mTEC	Loxl3	32	5	32	0.08	0.0	1.6421366829430284	0.0
post_Aire_mTEC	Loxl3	52	4	15	0.20833333333333331	0.16666666666666666	1.8568598770905171	0.7761624143957684
post_Aire_mTEC	Loxl4	1	4	8	0.9166666666666666	1.0	6.947243505546874	7.178279297802616
post_Aire_mTEC	Loxl4	4	5	57	0.5482721956406167	0.5454545454545454	5.72118339942003	6.033514641224305
post_Aire_mTEC	Loxl4	16	5	31	0.46818181818181814	0.5	4.1041096312836185	4.541518502633087
post_Aire_mTEC	Loxl4	32	5	32	0.5511111111111111	0.6	3.598472338550097	4.119996721539977
post_Aire_mTEC	Loxl4	52	4	15	0.4226190476190476	0.41666666666666663	4.216601264988774	5.238763103065603
