gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	Epi_GCM2	32	9	0.28125
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	TEC(neuro)	18	6	0.333333
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	cTEC	1774	605	0.341037
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	mTEC(II)	7	2	0.285714
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	mTEC(III)	4	1	0.25
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	mTEC(IV)	1	0	0
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	TEC(myo)	4	1	0.25
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	TEC(neuro)	19	2	0.105263
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	cTEC	7	0	0
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	mTEC(I)	10	0	0
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	mTEC(II)	3	0	0
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	mcTEC	4	1	0.25
LOXL1	F22	F22_TH_TOT	10th week post-fertilization stage	female	TEC(myo)	2	2	1
LOXL1	F22	F22_TH_TOT	10th week post-fertilization stage	female	cTEC	8	1	0.125
LOXL1	F22	F22_TH_TOT	10th week post-fertilization stage	female	mcTEC	7	1	0.142857
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	TEC(myo)	2	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	TEC(neuro)	1	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	cTEC	7	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	mTEC(I)	7	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	mTEC(III)	1	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	mcTEC	2	0	0
LOXL1	F38	F38_TH_45N_1	13th week post-fertilization stage	male	TEC(myo)	1	0	0
LOXL1	F38	F38_TH_45N_1	13th week post-fertilization stage	male	TEC(neuro)	2	0	0
