CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
F21.B002283.2_4.52.16.1_S297	7	F21	B002283	21	F	mTEChi	2	16wk	Mature mTEC	1.28015898680855	day2	F21.B002283.2_4.52.16.1_S297	1644312	5990	F21B0022832452161S297	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3820222	F21-B002283-2_4-52-16-1_S297	16	2	wk16_mouse2
F21.B002288.2_16.32.1.1_S117	7	F21	B002288	21	F	mTEChi	2	1wk	Mature mTEC	0.12225857522799	day2	F21.B002288.2_16.32.1.1_S117	193094	3496	F21B0022882163211S117	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814862	F21-B002288-2_16-32-1-1_S117	1	2	wk1_mouse2
F21.B002294.2_32.4.52.1_S225	7	F21	B002294	21	F	mTEChi	2	52wk	Mature mTEC	0.179442424395763	day2	F21.B002294.2_32.4.52.1_S225	289059	3118	F21B0022942324521S225	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828065	F21-B002294-2_32-4-52-1_S225	52	2	wk52_mouse2
F21.B002295.2_1.16.4.1_S9	7	F21	B002295	21	F	mTEChi	2	4wk	Mature mTEC	0.305490423798883	day2	F21.B002295.2_1.16.4.1_S9	407446	2571	F21B002295211641S9	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818734	F21-B002295-2_1-16-4-1_S9	4	2	wk4_mouse2
F22.B002283.2_4.52.16.1_S298	6	F22	B002283	22	F	mTEChi	2	16wk	Proliferating TEC	2.04873044746441	day2	F22.B002283.2_4.52.16.1_S298	2147911	8989	F22B0022832452161S298	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Proliferating.TEC	ERR3820226	F22-B002283-2_4-52-16-1_S298	16	2	wk16_mouse2
F22.B002288.2_16.32.1.1_S118	7	F22	B002288	22	F	mTEChi	2	1wk	Mature mTEC	0.244301560421997	day2	F22.B002288.2_16.32.1.1_S118	372654	3700	F22B0022882163211S118	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814864	F22-B002288-2_16-32-1-1_S118	1	2	wk1_mouse2
F22.B002294.2_32.4.52.1_S226	2	F22	B002294	22	F	mTEChi	2	52wk	Intertypical TEC	1.15110188566426	day2	F22.B002294.2_32.4.52.1_S226	1354999	5512	F22B0022942324521S226	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Intertypical.TEC	ERR3828070	F22-B002294-2_32-4-52-1_S226	52	2	wk52_mouse2
F22.B002295.2_1.16.4.1_S10	7	F22	B002295	22	F	mTEChi	2	4wk	Mature mTEC	1.86126319841183	day2	F22.B002295.2_1.16.4.1_S10	2300844	4684	F22B002295211641S10	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818740	F22-B002295-2_1-16-4-1_S10	4	2	wk4_mouse2
F23.B002283.2_4.52.16.1_S299	7	F23	B002283	23	F	mTEChi	2	16wk	Mature mTEC	0.29027678390909	day2	F23.B002283.2_4.52.16.1_S299	356323	4852	F23B0022832452161S299	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3820230	F23-B002283-2_4-52-16-1_S299	16	2	wk16_mouse2
F23.B002288.2_16.32.1.1_S119	6	F23	B002288	23	F	mTEChi	2	1wk	Proliferating TEC	0.684820646867984	day2	F23.B002288.2_16.32.1.1_S119	798718	3092	F23B0022882163211S119	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Proliferating.TEC	ERR3814866	F23-B002288-2_16-32-1-1_S119	1	2	wk1_mouse2
