gene	cell_type	subtype	comparison	baseMean	log2FoldChange	lfcSE	pvalue	padj	n_young_samples	n_aged_samples
Lox	8:nmSC		18mo_vs_02mo	0.1741116301368588	0.3915652256741113	5.315479729218196	0.941276887457048	0.9947259863158392	1	3
Loxl1	8:nmSC		18mo_vs_02mo	2.550702715186544	1.1568271255898934	2.536733212529897	0.648368213075019	0.9947259863158392	1	3
Loxl2	8:nmSC		18mo_vs_02mo	1.2504759935100902	2.8287824191318944	4.537251341320263	0.5329840612923333	0.9947259863158392	1	3
Loxl3	8:nmSC		18mo_vs_02mo	1.7344013698494778	-0.8053320910395455	2.6633195245056287	0.762363105259795	0.9947259863158392	1	3
Loxl4	8:nmSC		18mo_vs_02mo	0.3290185032381231	0.3915645303811785	5.385839197228035	0.9420427769314446	0.9947259863158392	1	3
Lox	8:nmSC	8:nmSC	18mo_vs_02mo	0.1741116301368588	0.3915652256741113	5.315479729218196	0.941276887457048	0.9947259863158392	1	3
Loxl1	8:nmSC	8:nmSC	18mo_vs_02mo	2.550702715186544	1.1568271255898934	2.536733212529897	0.648368213075019	0.9947259863158392	1	3
Loxl2	8:nmSC	8:nmSC	18mo_vs_02mo	1.2504759935100902	2.8287824191318944	4.537251341320263	0.5329840612923333	0.9947259863158392	1	3
Loxl3	8:nmSC	8:nmSC	18mo_vs_02mo	1.7344013698494778	-0.8053320910395455	2.6633195245056287	0.762363105259795	0.9947259863158392	1	3
Loxl4	8:nmSC	8:nmSC	18mo_vs_02mo	0.3290185032381231	0.3915645303811785	5.385839197228035	0.9420427769314446	0.9947259863158392	1	3
Lox	EC		18mo_vs_02mo	5.7947172322141824	-0.7227314906290185	1.4070840601301633	0.6075052815229932		3	1
Loxl1	EC		18mo_vs_02mo	4.7549695267954055	-5.942191702406822	3.752208184545268	0.1132729513557468		3	1
Loxl2	EC		18mo_vs_02mo	4.32341744664608	1.0373564696691049	1.5071608715319258	0.4912732216721323		3	1
Loxl3	EC		18mo_vs_02mo	2.237108388200185	-2.303259975673004	2.491976281724247	0.3553455371861822		3	1
Loxl4	EC		18mo_vs_02mo	0.1178975787257553	-2.0842078513889013	6.4382168144332494	0.7461466990671137		3	1
Lox	EC	0:arEC	18mo_vs_02mo	4.4174530667947725	-0.1060411111363069	1.427622213264376	0.9407890771293224	0.9996518015907346	3	1
Loxl1	EC	0:arEC	18mo_vs_02mo	0.9357210403929952	-3.306236252562489	4.053942582336873	0.4147514341147389	0.9996518015907346	3	1
Loxl2	EC	0:arEC	18mo_vs_02mo	1.4528672150290955	-0.3212957006025501	1.7573809569717933	0.8549342036926232	0.9996518015907346	3	1
Loxl3	EC	0:arEC	18mo_vs_02mo	0.9357210403929952	-3.306236252562489	4.053942582336873	0.4147514341147389	0.9996518015907346	3	1
Loxl4	EC	0:arEC	18mo_vs_02mo						3	1
Lox	EC	1:capEC	18mo_vs_02mo	0.5185671838314977	-2.8271410723916706	5.777304554988025	0.62459183442621	0.9997764860265292	3	1
Loxl1	EC	1:capEC	18mo_vs_02mo	3.2221413241645127	-5.60005146847653	3.853960764656344	0.1462059979472894	0.9997764860265292	3	1
Loxl2	EC	1:capEC	18mo_vs_02mo	2.38444611999922	1.2080618172690116	2.0660834929367766	0.5587420329589984	0.9997764860265292	3	1
Loxl3	EC	1:capEC	18mo_vs_02mo	0.6291511170830749	-0.3524488707171099	4.251867250192057	0.9339368372448204	0.9997764860265292	3	1
